GeoFips,GeoName,2008,2009,2010,2011,2012
27060,"Ithaca, NY (Metropolitan Statistical Area)",100383,101497,101677,101847,102713
,,,,,,
27100,"Jackson, MI (Metropolitan Statistical Area)",160825,160114,160150,159747,160251
,,,,,,
27140,"Jackson, MS (Metropolitan Statistical Area)",561812,564376,568373,573873,576406
,,,,,,
27180,"Jackson, TN (Metropolitan Statistical Area)",128445,129164,130047,129769,130315
,,,,,,
27260,"Jacksonville, FL (Metropolitan Statistical Area)",1322728,1334972,1349095,1361316,1378040
,,,,,,
27340,"Jacksonville, NC (Metropolitan Statistical Area)",169059,173064,179557,177834,184001
,,,,,,
27500,"Janesville-Beloit, WI (Metropolitan Statistical Area)",160647,160411,160238,160026,160311
,,,,,,
27620,"Jefferson City, MO (Metropolitan Statistical Area)",147792,148880,149953,150338,150349
,,,,,,
27740,"Johnson City, TN (Metropolitan Statistical Area)",196242,197698,198982,199759,200512
,,,,,,
27780,"Johnstown, PA (Metropolitan Statistical Area)",144646,144186,143447,142568,141541
,,,,,,
27860,"Jonesboro, AR (Metropolitan Statistical Area)",117915,120114,121267,122802,124190
,,,,,,
27900,"Joplin, MO (Metropolitan Statistical Area)",172744,174394,175909,176738,174491
,,,,,,
27980,"Kahului-Wailuku-Lahaina, HI (Metropolitan Statistical Area)",151424,153393,155052,156651,158130
,,,,,,
28020,"Kalamazoo-Portage, MI (Metropolitan Statistical Area)",323363,325604,326915,328424,330177
,,,,,,
28100,"Kankakee, IL (Metropolitan Statistical Area)",112658,113107,113462,113418,112847
,,,,,,
28140,"Kansas City, MO-KS (Metropolitan Statistical Area)",1973888,1994834,2013691,2024793,2038690
,,,,,,
28420,"Kennewick-Richland, WA (Metropolitan Statistical Area)",237348,245600,255594,263654,268160
,,,,,,
28660,"Killeen-Temple, TX (Metropolitan Statistical Area)",392237,395375,408267,412804,420532
,,,,,,
28700,"Kingsport-Bristol-Bristol, TN-VA (Metropolitan Statistical Area)",308069,309293,309581,309063,308564
,,,,,,
28740,"Kingston, NY (Metropolitan Statistical Area)",183174,182638,182374,182666,181753
,,,,,,
28940,"Knoxville, TN (Metropolitan Statistical Area)",827099,833862,838729,842940,848095
,,,,,,
29020,"Kokomo, IN (Metropolitan Statistical Area)",83472,82701,82771,82850,82891
,,,,,,
29100,"La Crosse-Onalaska, WI-MN (Metropolitan Statistical Area)",131920,133072,133856,134215,135019
,,,,,,
29180,"Lafayette, LA (Metropolitan Statistical Area)",459111,463998,467646,470627,473966
,,,,,,
29200,"Lafayette-West Lafayette, IN (Metropolitan Statistical Area)",197954,200775,202024,204215,206761
,,,,,,
29340,"Lake Charles, LA (Metropolitan Statistical Area)",196362,198010,200044,200486,201005
,,,,,,
29420,"Lake Havasu City-Kingman, AZ (Metropolitan Statistical Area)",200078,199696,200134,202399,203142
,,,,,,
29460,"Lakeland-Winter Haven, FL (Metropolitan Statistical Area)",594801,598683,603452,610250,616083
,,,,,,
29540,"Lancaster, PA (Metropolitan Statistical Area)",511957,516577,520305,523612,526436
,,,,,,
29620,"Lansing-East Lansing, MI (Metropolitan Statistical Area)",463638,463147,464089,465673,466032
,,,,,,
29700,"Laredo, TX (Metropolitan Statistical Area)",240287,245908,251320,255213,259211
,,,,,,
29740,"Las Cruces, NM (Metropolitan Statistical Area)",200855,205401,210288,212772,213952
,,,,,,
