GeoFips,GeoName,2001,2002,2003,2004,2005
22540,"Fond du Lac, WI (Metropolitan Statistical Area)",97856,98097,98470,98929,99297
,,,,,,
22660,"Fort Collins, CO (Metropolitan Statistical Area)",260541,265372,268448,271510,275116
,,,,,,
22900,"Fort Smith, AR-OK (Metropolitan Statistical Area)",258087,260117,261903,264035,266708
,,,,,,
23060,"Fort Wayne, IN (Metropolitan Statistical Area)",393580,396147,398993,400583,403240
,,,,,,
23420,"Fresno, CA (Metropolitan Statistical Area)",813021,829762,847193,861035,872470
,,,,,,
23460,"Gadsden, AL (Metropolitan Statistical Area)",102976,102988,103025,103080,103174
,,,,,,
23540,"Gainesville, FL (Metropolitan Statistical Area)",236001,239116,242033,245138,249557
,,,,,,
23580,"Gainesville, GA (Metropolitan Statistical Area)",146148,150229,153561,156385,160979
,,,,,,
23900,"Gettysburg, PA (Metropolitan Statistical Area)",92591,93934,95503,97300,98606
,,,,,,
24020,"Glens Falls, NY (Metropolitan Statistical Area)",124548,124926,125944,126854,127674
,,,,,,
24140,"Goldsboro, NC (Metropolitan Statistical Area)",113934,114305,114595,116484,117009
,,,,,,
24220,"Grand Forks, ND-MN (Metropolitan Statistical Area)",96663,96367,96267,98164,97777
,,,,,,
24260,"Grand Island, NE (Metropolitan Statistical Area)",77308,77526,77941,78215,78140
,,,,,,
24300,"Grand Junction, CO (Metropolitan Statistical Area)",119496,122440,124994,127678,130194
,,,,,,
24340,"Grand Rapids-Wyoming, MI (Metropolitan Statistical Area)",944552,952185,959259,965089,970713
,,,,,,
24420,"Grants Pass, OR (Metropolitan Statistical Area)",76452,77712,78779,79729,80660
,,,,,,
24500,"Great Falls, MT (Metropolitan Statistical Area)",80055,79848,79633,80198,80041
,,,,,,
24540,"Greeley, CO (Metropolitan Statistical Area)",192360,202234,208858,215322,222879
,,,,,,
24580,"Green Bay, WI (Metropolitan Statistical Area)",285783,288713,291169,294570,296800
,,,,,,
24660,"Greensboro-High Point, NC (Metropolitan Statistical Area)",652741,657855,663140,667711,677080
,,,,,,
24780,"Greenville, NC (Metropolitan Statistical Area)",136605,139128,141610,144486,147929
,,,,,,
